                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 2.0712,                 1.6546,                 1.4412,                  2.161,                 2.0371,                 1.2796,                0.35686,                0.59089,                0.39906,                 0.1438,                 2.1059,                 1.8308,                 1.6975,                 2.0314,                 2.4276,                  1.562,             0.00085834,             0.00085834,             0.00085834
                     52,                 2.1259,                 1.6038,                 1.4441,                 2.2007,                 1.9439,                 1.2587,                 0.2745,                0.56854,                0.33615,                 0.1172,                 2.1597,                 1.8586,                 1.7301,                 2.1088,                 2.4342,                 1.6103,             0.00084184,             0.00084184,             0.00084184
                     53,                 2.0919,                 1.6023,                 1.4711,                  2.187,                 1.9664,                 1.3032,                 0.2081,                0.48348,                0.28047,                0.10542,                 2.1955,                 1.7771,                 1.7538,                 2.0028,                 2.4118,                 1.6168,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.1354,                 1.6274,                 1.4617,                 2.2414,                 1.9516,                 1.2876,                0.34426,                0.64678,                0.41749,                0.15072,                 2.0801,                 1.7904,                  1.678,                 1.9719,                 2.4374,                 1.5665,             0.00080883,             0.00080883,             0.00080883
                     55,                 2.0514,                 1.5451,                 1.4211,                 2.1334,                 1.9217,                 1.2572,                0.31059,                0.58017,                0.37672,                 0.1394,                 2.1062,                  1.961,                 1.6827,                 2.0466,                 2.6903,                 1.5687,             0.00079233,             0.00079233,             0.00079233
                     56,                 2.0788,                 1.5993,                 1.4755,                 2.1446,                 1.9867,                 1.2814,                0.24059,                0.48031,                0.28296,                0.10257,                 2.1043,                 1.8661,                 1.7158,                 2.0865,                 2.5107,                  1.615,             0.00077582,             0.00077582,             0.00077582
                     57,                 2.0791,                 1.6161,                 1.4831,                  2.176,                 1.9701,                 1.3106,                0.32095,                0.54577,                0.34287,                0.10521,                 2.1475,                 1.8406,                 1.7507,                 2.1083,                 2.4074,                 1.6304,             0.00075932,             0.00075932,             0.00075932
                     58,                 2.0602,                 1.5821,                 1.4462,                 2.1542,                 1.9362,                 1.2905,                0.29205,                0.59262,                0.36583,                0.12759,                 2.2097,                 1.6949,                   1.71,                 2.0717,                 2.2682,                 1.5624,             0.00074282,             0.00074282,             0.00074282
                     59,                  2.057,                 1.6066,                 1.4678,                 2.1011,                 1.9611,                 1.2884,                0.34917,                0.62587,                0.40363,                0.14039,                 2.1417,                 1.7781,                  1.702,                 2.0631,                  2.339,                 1.5378,             0.00072631,             0.00072631,             0.00072631
                     60,                 2.0446,                 1.6393,                 1.4778,                  2.161,                 1.9972,                 1.3306,                0.23788,                0.47572,                0.27588,                0.10431,                 2.1491,                 1.9212,                 1.7083,                  1.991,                 2.6559,                 1.5125,             0.00070981,             0.00070981,             0.00070981
